Z,N,exp,sd,SKM,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,A,AME2016,S2n_16,AME2003,S2n_03
25.0,32.0,15.91647,0.00152,17.185682,17.711966,16.363586,16.618805,16.853041,16.333857,57.0,497.992641,15.916430999999989,497.993211,15.918871000000024
25.0,34.0,14.1817,0.00277,13.713775,14.757751,14.098103,14.284961,13.796598,13.955067,59.0,512.174339,14.18169800000004,512.1286140000001,14.13540300000011
25.0,36.0,12.35944,0.00329,12.489782,12.957309,12.3947,12.737899,12.529323,12.038377,61.0,524.5338150000001,12.359476000000086,524.347399,12.218784999999912
25.0,38.0,11.28757,0.00439,12.151082,11.731673,12.003238,12.029799,11.731278,11.248835,63.0,535.821363,11.287547999999902,535.285485,10.938085999999998
25.0,40.0,10.22292,0.00527,11.42983,10.272755,10.825217,10.705322,10.445246,10.0948,65.0,546.044265,10.222901999999976,545.7496199999999,10.464134999999942
26.0,26.0,29.99654,0.00982,28.279507,27.312143,27.802945,27.756769,28.05611,28.047911,52.0,447.697848,29.996548000000075,447.699096,29.998695999999995
26.0,28.0,24.06677,0.0051,25.530058,24.435782,24.612857,24.688151,25.343636,24.754727,54.0,471.76462799999996,24.066779999999937,471.76257599999997,24.06347999999997
26.0,30.0,20.49522,0.00028,20.73691,21.778563,20.696174,21.063374,21.442171,20.522026,56.0,492.2598239999999,20.495195999999964,492.25808800000004,20.495512000000076
26.0,32.0,17.69066,0.00018,18.343484,18.974687,17.745013,17.876552,18.087837,17.751692,58.0,509.9505,17.690676000000053,509.94881799999996,17.690729999999917
26.0,34.0,15.40054,0.00339,14.954666,16.035593,15.486218,15.735095,15.074685,15.339831,60.0,525.35106,15.400559999999984,525.34986,15.401042000000075
26.0,36.0,13.60767,0.00441,13.721669,14.278341,13.718765,13.940199,13.859839,13.378861,62.0,538.958684,13.607623999999987,538.981376,13.63151599999992
26.0,38.0,12.23413,0.00574,13.001789,13.052738,13.253692,13.334815,13.004553,12.472688,64.0,551.1928320000001,12.234148000000118,550.99392,12.012544000000048
26.0,40.0,11.24093,0.00648,12.638594,11.550371,12.135882,11.95675,11.689466,11.420073,66.0,562.4337840000001,11.240951999999993,561.939444,10.945523999999978
26.0,42.0,9.56171,0.36528,11.646282,9.896805,9.466439,9.988709,9.785323,9.183511,68.0,571.995464,9.56167999999991,571.636696,9.697252000000049
27.0,28.0,27.51309,0.0017,27.629306,26.154676,26.735817,26.60244,27.197102,26.830614,55.0,476.82899,27.513115999999968,476.826625,27.52537899999993
27.0,30.0,21.45832,0.00054,21.971305,23.301888,21.898713,22.49652,22.900545,22.00162,57.0,498.287274,21.45828400000005,498.285906,21.459281000000033
